═════════════════════════════════════════════════════════════════════
"AidlY Analytics Report - Comprehensive Dashboard Export"
═════════════════════════════════════════════════════════════════════
Generated:,"September 30, 2025 11:52:51"
"Report Period:","All time to Present"
"Total Records:",43

"═══ KEY METRICS ═══"

Metric,Count,Percentage
─────────────────,─────────,────────────
"Total Tickets",43,100%
"New Tickets",30,69.8%
"Open Tickets",6,14%
"Pending Tickets",3,7%
"Resolved Tickets",3,7%
"Closed Tickets",1,2.3%

"═══ PRIORITY DISTRIBUTION ═══"

"Priority Level",Count,Percentage
─────────────────,─────────,────────────
"🔴 Urgent",3,7%
"🟠 High",1,2.3%
"🟡 Medium",35,81.4%
"🔵 Low",4,9.3%

"═══ TEAM STATISTICS ═══"

Metric,Value
─────────────────,─────────
"Total Clients",29
"Total Agents",6
"Resolution Rate",9.3%

"═══ STATUS BY PRIORITY BREAKDOWN ═══"

Status,Urgent,High,Medium,Low,Total
─────────────,─────,─────,─────,─────,─────
New,0,0,28,2,30
Open,2,1,3,0,6
Pending,1,0,2,0,3
Resolved,0,0,2,1,3
Closed,0,0,0,1,1

"═══ DETAILED TICKET HISTORY ═══"

"Ticket #",Subject,Status,Priority,"Client Name","Client Email","Assigned Agent",Source,"Created Date","Updated Date","Resolution Time (days)"
─────────,─────────────────,─────────,─────────,─────────────,──────────────,─────────────,─────────,─────────────,─────────────,──────────────────
TKT-003,"Feature request: Dark mode",NEW,LOW,"Bob Wilson",bob.wilson@example.com,Unassigned,email,"Sep 24, 2025 09:47","Sep 29, 2025 11:52",N/A
TKT-004,"Application crash on export",OPEN,URGENT,"Alice Brown",alice.brown@example.com,"Bob Agent",phone,"Sep 24, 2025 07:47","Sep 26, 2025 08:57",N/A
TKT-001003,"Request for dark mode feature",NEW,LOW,"Bob Wilson",bob.wilson@company3.com,Unassigned,web_form,"Sep 24, 2025 07:50","Sep 26, 2025 08:57",N/A
TKT-001008,"Feature request: API rate limiting",NEW,MEDIUM,"Bob Wilson",bob.wilson@company3.com,Unassigned,email,"Sep 24, 2025 23:50","Sep 26, 2025 08:57",N/A
TKT-001009,"Security concern: unauthorized access",OPEN,URGENT,"Sarah Johnson",sarah.johnson@company4.com,"Test User",phone,"Sep 25, 2025 07:05","Sep 26, 2025 08:57",N/A
TKT-002,"Invoice not received",PENDING,MEDIUM,"Jane Smith",jane.smith@example.com,"Charlie Agent",web_form,"Sep 23, 2025 12:47","Sep 26, 2025 08:57",N/A
TKT-001023,"Need help with login",NEW,MEDIUM,Customer,customer@example.com,Unassigned,email,"Sep 29, 2025 08:01","Sep 29, 2025 08:01",N/A
TKT-001002,"Payment processing failed",PENDING,URGENT,"Alice Smith",alice.smith@company2.com,"Test User",email,"Sep 25, 2025 07:20","Sep 26, 2025 08:57",N/A
TKT-001007,"Invoice not generated",PENDING,MEDIUM,"Alice Smith",alice.smith@company2.com,Unassigned,web_form,"Sep 25, 2025 01:50","Sep 26, 2025 08:57",N/A
